بسم الله الرحمن الرحیم	لـلٔريلقيلم
( وصلی الله على سيدنا محمد وآله وسلم )	و وصلى انه على سيدا محد وآله وسمها
العبد الضعيف ابرهيم بن على بن أحمد بن عبد الواحد الطرسوسى الحنفی (1)	البد الغعيف ابرهبم بن على بٕن أحد بن عبد الواحد الطرسوسى الحنن (1]
وفقه الله ولا وقفه . وفتح له مقفل المشكلات ولوجوه البيان عرفه . لما رأيت	وفقه النه ولا وقفه . وفنجي ل عنفنل المشكلات ولوجوه البيان عرفه . لمارأيت
المسائل الواقعات فی المحاكمات متفرقة فی الكتب . ويحصـل فی الكشف عنها	المسأل الواقلت ف الحاكات منزرنة ف الكتب . ويعصل ف الكشف عفا
غاية التعب . ورأيت العمل فى بعضها علىغير القول الصحيح . والتلويحأ نسب	غاية التعب . ورأيت العل ف بعضما على غير القول الصحيح . والتلويح ا دسب
من التصريح . وربما وقع  بعض القضاة فى مسائل خارجة عن المذهب بالكلية .	من النصريح . وربا وقع بهض القضاة ف ،مسائل خارجة عن المذهب بالكلية.
والمنصوص فيها على خلاف ماحكم به فی القضية . استخرت الله فى جمع المسائل	و النصوص فيها على خلاف ،احكم به ف القضية . استخرت ال في جع المسأل
المشار اليها وترتيبها على ترتيب  كتب الفقـه و كنت فى أول الامر اختصرت	المشار البها ونرنيبها على ترتيب كتب الفقه وكنت فى أول الامر اختمرت
أسماء الكتب المنقول منها الحكم فی المسألة فلما دخلت فى الجمع تبين أن الأولى	أسا الكب المنقول ممها الحكم فی المسالة فلما وخلت فی اجع تبين أن الأولى
اعزاء (2) النقول الى المصنفات بالتصريح . والخروج عن عهـدة الغريب منها	اراء (2) النقول الى الصنفالت بلتصرج . وانخروج عن عهـدة الغريب هنها
(1) هوقاضى القضاة ابرهيم بن على بن أحمد بن عبد الواحد بن عبد المنعم بن عبد الصمد	(1) هوقاضى الفضاة ا برهيم ان لى بن أمد بن عبد الواءد بن عبد لانهم بن عبد الصمد
الحمد لله الذی نور قلوب العلماء بمصابيح خلاصة الرعاية وخصهم بكشف	الحد نه الذى نور قلوب الاء بعصابيح خلاصة الرعاية وخصبهم بكشف
نجم الدين أ بو اسحق الدمشقى الطرسوسى تولى وظيفة قاضى القضاة بدمشق سنة 746 ھ	نجم الدين أ بو اسحق الدمثفى الطرسوسى نول وفيفة قاغى ال"اضاة بدمشق سنة146ه
بعد والده قاضى القضاة عمادالدين وأفتی ودرس وصنف كثيراً من المؤلفات النفيسة منها كتاب	بعد والده ناضى افقضاة عمارالدين وأفق ودر ح رصنفـ كثيراً ،ن الموانا ت النفيسة منها كتاب
الفوائد وهو منظومة فی الف بيت وقد توفى رحمه الله سنة 758 هـ "تاج التراجم "	الفوأد رهو مدظومة فى الف بت وآد ةوفى رمهاة سنة8ها ه "تاج التر اجم"
(2) كذا بالأ صل وصوابها عرو ( اللسان )	(،) كنا بالا ٔمل وصراباعرر ا لسانا
الأسرار فاصبحت همتهم العلية تسمو الى غاية النهاية . ومنحهم کنوزاً هى خير	الأ سرار فاصبحت هنمهم الية نسو الى غاية النهاية . ومنحهم كنوزً هى خير
مطلوب وبها تحصلالكفاية . أحمده على مبسوط افضاله النافع وأشكره على عطائه	مطلوب وب ا نمحصل الكفاية . أمهده على مبسوطافضاله الناف وأشكره على عطاه
الجامع . وأستزيده تبصرة من نورهاللامع . وأشهد ألا إله الا اللهوحده لاشريك	الجامع . وأستز يده بصرة من فورهالام . وأش هد الا إله الا الٔوحده لاشر بلك
له شهادة أدخرها ليوم الميعاد ذخراً وأرددها سراً وجهراً وأشهد أن محمدا عبد	له شهادةأدخرها ايوم المبعاد ذخراًوأردها سراً وجهراً وأشهد أن محدا عبده
المختار الهادى الى خير ملة ورسوله الذی أيده وسدد قوله وفعله . صلى الله عليه	الخنار المادى الى خير هلة ورموله الذى أيده وسدد قوله وفعله . صلى الله عليه
وعلى آله وأصحابه صـلاة تترادف بالزيادات وتتضاعف بالبركات . وتبقى مع	وعلى آله وأصحابه صلاة تنرادف بلزيادات وتضاعف بالبركات . وبقى فع
الباقيات الصالحات وتدومدوام الأرض والسموات وسلم تسلیما ( وبعد ) فيقول	الباقيات الصالحات ودومدوام الأرض والسموات وملم نسلها ل وبعد) فيقول
فعله جماعة من قضاة المذهب وهو صحيح رافع للخلاف يشترط له الدعوى من	فله جاعة ،ن قضاة المذهب وهو صحيح رافع الخلاف يشترط له الدعوى من
خصم شرعي غير أن الطريق اليـه فيها نظر وذلك لأنه يحتاج فيـه الى دعوى	خمم شرعي غير أن الطر بق الي فيا نظلر وذلك لأنه يجتاج فيه الى دعوك
